latitude,longitude,area_code
-43.51148,172.59658,320800
-43.50961,172.65552,325900
-43.82343,172.94643,333300
-43.61889,172.65314,332200
-43.53955,172.60697,325500
-43.51149,172.6254,322200
-43.56982,172.55229,324300
-43.55813,172.72025,332000
-43.46923,172.66459,321301
-43.46900177001953,172.66433715820312,321301
-43.51332,172.5784,320600
-43.62728,172.71872,332901
-43.60411,172.69502,332501
-43.47967543598596,172.61712715029716,319600
-43.5554722,172.6283052,329100
-43.60587407545263,172.6942335116394,332501
-43.60364,172.6954,332501
-43.5739188,172.6530071,331200
-43.5716,172.63094,331300
-43.57061,172.63118,330300
-43.59760284423828,172.7147979736328,332501
-43.52992630004883,172.60997009277344,325200
-43.63553,172.7195,332901
-43.48401,172.56094,317000
-43.7876,172.81902,333100
-43.78759,172.81975,333100
-43.78643,172.81997,333100
-43.60344,172.6901,332501
-43.47764,172.5668,317000
-43.5664,172.73825,332400
-43.60281,172.68887,332501
-43.784,172.90277,333300
-43.55145,172.60179,326900
-43.607941489520215,172.70360517763766,332501
-43.52105,172.62268,323000
-43.7841,172.97777,333300
-43.52628,172.73449,331700
-43.55625,172.62941,329100
-43.57472,172.63431,331300
-43.56124,172.71569,332000
-43.56553,172.7297,332100
-43.78376,172.97608,333300
-43.60187,172.71958,332501
-43.64815,172.8192,333201
-43.82883,172.94328,333400
-43.59799,172.71911,332501
-43.48641586303711,172.58523559570312,317800
-43.47665,172.56715,317000
-43.76285,172.80538,333100
-43.48177,172.58516,317800
-43.53668,172.58282,322700
-43.54546,172.67745,330100
-43.56989,172.75997,332700
-43.50956,172.60341,321400
-43.54077,172.66434,328900
-43.52918,172.73721,331700
-43.57605,172.54686,324501
-43.5309,172.60518,324400
-43.50015,172.58851,319900
-43.5275,172.64771,327000
-43.56867,172.64398,330600
-43.51225,172.73015,330200
-43.51342009222385,172.73116193711758,330200
-43.60461,172.6948,332501
-43.53587,172.66089,328900
-43.58063,172.63356,331300
-43.53458,172.5513,321000
-43.74045,173.09303,333201
-43.48535,172.61728,320501
-43.7999,172.97557,333500
-43.50156,172.58867,319900
-43.53261,172.649,327100
-43.46835,172.59309,317600
-43.5158,172.6248,323900
-43.57386,172.76726,332700
-43.7263,172.78377,333100
-43.51606,172.62546,323900
-43.56566,172.72121,332000
-43.781,172.78958,333100
-43.57696,172.6309,331300
-43.67916,172.65324,332801
-43.520267,172.626251,323000
-43.51817,172.59099,321500
-43.56726,172.74426,332400
-43.53154,172.65214,327901
-43.79935,172.97332,333500
-43.62882,172.7397,332901
-43.56417,172.65503,331200
-43.52647,172.64719,327000
-43.56710052490234,172.6211395263672,329200
-43.56814,172.64783,331200
-43.5271,172.64739,327000
-43.5597,172.66637,331400
-43.57474,172.63415,331300
-43.80068,172.97365,333500
-43.56648,172.75864,332700
-43.51583,172.62082,323000
-43.50298,172.5856,319900
-43.76331,172.80575,333100
-43.55609,172.64138,329700
-43.58115,172.59828,330000
-43.52177,172.60927,322600
-43.60254,172.72462,332501
-43.529441833496094,172.60879516601562,325200
-43.55985,172.73823,332100
-43.49461,172.61691,320900
-43.51502,172.6111,322600
-43.55375,172.64607,329400
-43.48418,172.72136,326000
-43.48857,172.59288,317800
-43.50933,172.63953,323800
-43.49814,172.59603,319900
-43.53618,172.55261,321000
-43.5214,172.62527,324900
-43.52794,172.64569,327000
-43.5928,172.5476,324502
-43.55922,172.73756,332100
-43.57067,172.63086,330300
-43.58153380742747,172.757066660864,332700
-43.78468,172.98529,333300
-43.55942,172.61579,328200
-43.51453,172.65018,325302
-43.51567,172.64604,325302
-43.55469,172.59022,325000
-43.55765,172.65673,330800
-43.51330185,172.6190033,323000
-43.50495,172.59409,320800
-43.57261,172.63826,331300
-43.54343,172.6181,327400
-43.51819,172.61528,323000
-43.60556,172.69062,332501
-43.57454,172.6285,330300
-43.60444,172.69045,332501
-43.50208,172.71265,328300
-43.55406,172.69765,331801
-43.53119,172.63981,327000
-43.53095,172.62868,325700
-43.531864,172.605331,324400
-43.52303,172.60494,322600
-43.5166,172.55643,319500
-43.51464,172.64726,325302
-43.54321,172.68812,331100
-43.52543,172.64527,327000
-43.76857,172.79229,333100
-43.51377,172.62507,323900
-43.75784,172.91221,333300
-43.49113,172.59717,319400
-43.4962,172.65997,323400
-43.76101,172.79675,333100
-43.51437377929688,172.62033081054688,323000
-43.54337,172.66765,330100
-43.53455,172.66597,328900
-43.57053,172.72278,332100
-43.57138,172.72156,332000
-43.520057678222656,172.64767456054688,325302
-43.53098,172.60669,324400
-43.56741,172.74499,332400
-43.56204,172.61723,329200
-43.5623,172.63601,330300
-43.56923,172.63571,331300
-43.51865,172.63628,324800
-43.50932,172.63326,323800
-43.52648,172.60572,323200
-43.58421767066455,172.58212228465575,329002
-43.78824,172.81892,333100
-43.50506,172.56618,318300
-43.52628,172.60875,323200
-43.50909,172.65481,325900
-43.52408,172.63208,325800
-43.62637,172.72101,332901
-43.55268,172.62263,327600
-43.57538,172.6525,331200
-43.56828,172.75776,332700
-43.80556,172.99072,333300
-43.5146,172.62347,323000
-43.6026,172.71657,332501
-43.57687,172.76256,332700
-43.5146,172.64437,325302
-43.51004,172.57445,319200
-43.51354,172.5774,320600
-43.50971,172.65454,325900
-43.51354,172.57738,320600
-43.57302,172.7554,332400
-43.54827,172.67983,331100
-43.52779,172.64685,327000
-43.51142883300781,172.62551879882812,322200
-43.51944,172.56245,319500
-43.78659,172.9838,333300
-43.54882,172.68041,331100
-43.60284,172.72009,332501
-43.52857,172.63187,325700
-43.64286,172.74139,332801
-43.51536,172.6528,325900
-43.73498,172.82845,333100
-43.50854,172.63388,323800
-43.5103,172.62456,322200
-43.5158,172.66294,325900
-43.52403,172.63203,325800
-43.56535,172.71674,332000
-43.50051,172.68127,325601
-43.57946,172.76543,332700
-43.5023,172.43362,316500
-43.54489,172.65486,328800
-43.80356,172.99224,333300
-43.52676,172.55393,321000
-43.51461,172.65253,325900
-43.56852,172.64308,330600
-43.57141,172.54318,324501
-43.52285,172.63149,325800
-43.74381,172.85396,333100
-43.4363,172.66778,317201
-43.47903,172.58386,317800
-43.51233,172.59935,321500
-43.51817,172.54182,317701
-43.55464,172.64506,329700
-43.52263,172.65459,326800
-43.52988,172.58196,321800
-43.53148,172.58209,322700
-43.54962,172.60355,326900
-43.54991,172.65205,329900
-43.53055,172.63852,326600
-43.46262,172.59438,316800
-43.50107,172.56246,318300
-43.500576,172.561295,318300
-43.72316,172.71741,333100
-43.50092,172.6215,322200
-43.4713,172.62645,318600
-43.57359,172.75569,332400
-43.67506,173.01616,333201
-43.52952,172.63951,326600
-43.51804,172.58487,320600
-43.51984,172.62534,323000
-43.53199,172.64397,327000
-43.50574,172.64142,323100
-43.52489,172.63005,325700
-43.57225,172.7726,332700
-43.53905,172.74399,331700
-43.53118,172.64377,327000
-43.60153,172.57083,329001
-43.53266,172.53843,319800
-43.51784,172.65733,326800
-43.51605,172.62365,323000
-43.7817,172.79195,333100
-43.50211,172.55357,318501
-43.46646,172.58437,317000
-43.49366,172.56739,318300
-43.548,172.7459,331700
-43.57083,172.65511,331200
-43.54802,172.64331,329400
-43.54439,172.61301,326100
-43.64529,172.70996,332901
-43.55663,172.58995,326701
-43.57383,172.63483,331300
-43.57257,172.63441,331300
