TimeFrame,Location ID,Dwelling Type,Total Bonds,Active Bonds,Closed Bonds,Median Rent,Geometric Mean Rent
1/04/2026,124400,ALL,15,63,6,630,582
1/04/2026,124500,ALL,18,78,6,620,657
1/04/2026,124600,ALL,9,24,0,730,745
1/04/2026,124800,ALL,24,72,6,613,587
1/04/2026,124900,ALL,12,45,6,595,596
1/04/2026,125000,ALL,18,39,3,600,427
1/04/2026,125200,ALL,24,66,3,690,664
1/04/2026,125400,ALL,9,42,0,750,800
1/04/2026,125500,ALL,18,60,3,645,582
1/04/2026,125600,ALL,9,75,6,640,683
1/04/2026,125700,ALL,6,36,3,635,649
1/04/2026,125800,ALL,6,39,3,650,605
1/04/2026,125900,ALL,12,42,6,855,882
1/04/2026,126100,ALL,9,9,0,750,714
1/04/2026,126200,ALL,6,48,3,635,593
1/04/2026,126300,ALL,6,21,0,675,599
1/04/2026,126400,ALL,9,48,0,650,639
1/04/2026,126500,ALL,9,51,0,695,728
1/04/2026,126600,ALL,27,129,12,640,726
1/04/2026,126700,ALL,18,105,3,560,452
1/04/2026,126800,ALL,15,120,12,580,692
1/04/2026,126900,ALL,6,24,3,620,489
1/04/2026,127000,ALL,18,78,6,670,682
1/04/2026,127100,ALL,15,69,15,635,613
1/04/2026,127300,ALL,6,45,3,650,707
1/04/2026,127400,ALL,15,87,6,640,631
1/04/2026,127500,ALL,9,54,3,530,490
1/04/2026,127700,ALL,48,135,0,550,569
1/04/2026,127900,ALL,9,60,3,595,525
1/04/2026,128100,ALL,6,27,3,900,807
1/04/2026,128200,ALL,9,39,0,850,703
1/04/2026,128300,ALL,15,48,3,650,583
1/04/2026,128400,ALL,21,78,3,600,567
1/04/2026,128500,ALL,9,48,3,650,665
1/04/2026,128800,ALL,9,39,3,700,785
1/04/2026,128900,ALL,9,42,0,650,642
1/04/2026,129000,ALL,15,30,0,635,458
1/04/2026,129100,ALL,18,90,9,540,400
1/04/2026,129300,ALL,9,42,3,700,737
1/04/2026,129400,ALL,6,27,3,590,655
1/04/2026,129500,ALL,9,33,0,670,599
1/04/2026,129600,ALL,15,57,0,585,482
1/04/2026,129700,ALL,33,147,24,695,775
1/04/2026,129900,ALL,15,78,9,530,622
1/04/2026,130000,ALL,9,12,0,730,607
1/04/2026,130100,ALL,12,42,0,610,575
1/04/2026,130200,ALL,27,141,9,673,704
1/04/2026,130300,ALL,15,51,0,900,1034
1/04/2026,130400,ALL,6,42,0,1295,1216
1/04/2026,130500,ALL,27,51,3,129,196
1/04/2026,130600,ALL,6,45,3,673,535
1/04/2026,130700,ALL,9,54,0,585,606
1/04/2026,130800,ALL,12,129,6,535,394
1/04/2026,130900,ALL,18,72,0,550,552
1/04/2026,131000,ALL,18,54,0,650,628
1/04/2026,131100,ALL,15,66,0,650,643
1/04/2026,131200,ALL,15,117,12,620,725
1/04/2026,131300,ALL,36,210,12,725,825
1/04/2026,131500,ALL,12,57,3,580,537
1/04/2026,131600,ALL,15,93,12,650,659
1/04/2026,131700,ALL,9,39,3,730,547
1/04/2026,131800,ALL,24,168,18,760,763
1/04/2026,131900,ALL,24,99,9,350,330
1/04/2026,132000,ALL,18,102,9,573,547
1/04/2026,132100,ALL,21,168,15,700,637
1/04/2026,132200,ALL,21,75,6,540,595
1/04/2026,132300,ALL,18,78,6,580,501
1/04/2026,132400,ALL,90,525,48,528,482
1/04/2026,132600,ALL,18,84,6,605,498
1/04/2026,132700,ALL,108,564,45,470,484
1/04/2026,132800,ALL,18,174,12,603,611
1/04/2026,132900,ALL,18,48,3,595,352
1/04/2026,133000,ALL,15,84,6,790,796
1/04/2026,133100,ALL,66,177,6,510,552
1/04/2026,133200,ALL,51,441,33,490,509
1/04/2026,133300,ALL,51,576,57,650,677
1/04/2026,133400,ALL,105,513,42,440,418
1/04/2026,133500,ALL,33,204,18,615,572
1/04/2026,133600,ALL,21,174,15,580,558
1/04/2026,133700,ALL,63,714,78,470,575
1/04/2026,133800,ALL,48,261,12,410,407
1/04/2026,134100,ALL,78,459,51,440,410
1/04/2026,134200,ALL,18,111,9,580,543
1/04/2026,134300,ALL,69,321,39,420,491
1/04/2026,134400,ALL,15,123,9,900,776
1/04/2026,134500,ALL,105,720,51,460,481
1/04/2026,134700,ALL,6,27,0,765,706
1/04/2026,134800,ALL,72,750,27,539,515
1/04/2026,134900,ALL,6,69,3,520,541
1/04/2026,135000,ALL,9,87,6,628,634
1/04/2026,135100,ALL,87,810,69,400,393
1/04/2026,135200,ALL,6,42,0,673,562
1/04/2026,135300,ALL,93,528,45,470,457
1/04/2026,135400,ALL,6,24,3,623,547
1/04/2026,135500,ALL,21,135,9,520,429
1/04/2026,135600,ALL,39,150,9,520,452
1/04/2026,135700,ALL,60,237,30,389,414
1/04/2026,135800,ALL,12,72,6,610,614
1/04/2026,135900,ALL,90,552,51,472,433
1/04/2026,136000,ALL,87,615,54,545,527
1/04/2026,136100,ALL,60,282,30,295,360
1/04/2026,136200,ALL,15,60,0,665,682
1/04/2026,136300,ALL,21,126,9,550,569
1/04/2026,136400,ALL,42,279,42,615,644
1/04/2026,136500,ALL,12,75,0,673,648
1/04/2026,136600,ALL,12,48,6,683,586
1/04/2026,136700,ALL,6,24,0,663,667
1/04/2026,136800,ALL,6,33,3,930,771
1/04/2026,136900,ALL,12,204,15,485,511
1/04/2026,137000,ALL,12,63,3,618,639
1/04/2026,137100,ALL,12,39,0,583,572
1/04/2026,137200,ALL,9,33,0,745,636
1/04/2026,137400,ALL,18,129,9,588,688
1/04/2026,137600,ALL,12,54,3,570,572
1/04/2026,137700,ALL,12,75,6,615,600
1/04/2026,137800,ALL,36,357,24,460,531
1/04/2026,137900,ALL,6,24,3,593,560
1/04/2026,138100,ALL,18,129,6,530,563
1/04/2026,138200,ALL,6,66,3,555,574
1/04/2026,138300,ALL,12,42,0,673,638
1/04/2026,138400,ALL,27,189,6,565,619
1/04/2026,138500,ALL,39,249,15,620,638
1/04/2026,138600,ALL,9,42,0,630,563
1/04/2026,138700,ALL,21,153,27,510,493
1/04/2026,138900,ALL,12,63,3,700,754
1/04/2026,139000,ALL,15,117,6,495,650
1/04/2026,139100,ALL,6,18,3,535,537
1/04/2026,139200,ALL,6,42,6,745,610
1/04/2026,139300,ALL,12,75,6,495,524
1/04/2026,139400,ALL,12,60,3,758,826
1/04/2026,139500,ALL,6,48,3,480,354
1/04/2026,139600,ALL,6,21,0,660,640
1/04/2026,139700,ALL,6,75,6,575,564
1/04/2026,139800,ALL,12,54,0,665,688
1/04/2026,139900,ALL,9,72,0,930,809
1/04/2026,140000,ALL,12,57,0,1165,1054
1/04/2026,140100,ALL,6,21,3,1215,1099
1/04/2026,140200,ALL,18,81,12,805,748
1/04/2026,140300,ALL,15,108,6,580,657
1/04/2026,140500,ALL,15,60,6,740,811
1/04/2026,140600,ALL,6,18,3,850,832
1/04/2026,140700,ALL,6,21,0,750,783
1/04/2026,140800,ALL,6,63,6,910,890
1/04/2026,140900,ALL,30,69,3,459,295
1/04/2026,141000,ALL,15,93,6,580,657
1/04/2026,141100,ALL,21,159,6,650,710
1/04/2026,141200,ALL,18,69,6,380,457
1/04/2026,141300,ALL,6,24,0,793,760
1/04/2026,141500,ALL,9,54,6,695,849
1/04/2026,141700,ALL,6,24,3,1120,944
1/04/2026,141800,ALL,9,69,9,600,647
1/04/2026,141900,ALL,6,48,0,785,815
1/04/2026,142000,ALL,15,63,3,685,663
1/04/2026,142100,ALL,12,45,0,665,606
1/04/2026,142200,ALL,9,63,6,750,891
1/04/2026,142300,ALL,12,30,0,678,686
1/04/2026,142400,ALL,6,33,3,775,733
1/04/2026,142600,ALL,9,42,3,710,763
1/04/2026,142700,ALL,6,36,3,950,838
1/04/2026,142800,ALL,18,81,3,750,663
1/04/2026,143000,ALL,6,42,0,925,894
1/04/2026,143100,ALL,12,93,3,650,724
1/04/2026,143200,ALL,9,96,6,550,530
1/04/2026,143300,ALL,18,75,3,645,627
1/04/2026,143400,ALL,30,90,6,613,567
1/04/2026,143500,ALL,9,69,9,910,776
1/04/2026,143600,ALL,6,27,3,708,694
1/04/2026,143800,ALL,12,63,3,820,835
1/04/2026,143900,ALL,12,36,0,865,870
1/04/2026,144100,ALL,21,105,6,595,559
1/04/2026,144200,ALL,30,81,15,530,518
1/04/2026,144300,ALL,18,90,6,580,605
1/04/2026,144400,ALL,18,63,3,578,594
1/04/2026,144500,ALL,18,135,6,530,538
1/04/2026,144700,ALL,27,105,9,750,727
1/04/2026,144800,ALL,9,63,0,680,656
1/04/2026,145000,ALL,30,183,18,475,489
1/04/2026,145100,ALL,6,33,0,800,786
1/04/2026,145200,ALL,12,39,3,633,651
1/04/2026,145300,ALL,15,81,6,600,534
1/04/2026,145400,ALL,9,39,6,420,446
1/04/2026,145500,ALL,15,36,3,640,635
1/04/2026,145600,ALL,12,42,6,660,646
1/04/2026,145700,ALL,6,21,6,868,876
1/04/2026,146000,ALL,6,87,6,420,462
1/04/2026,146100,ALL,9,39,0,720,670
1/04/2026,146200,ALL,18,78,3,533,574
1/04/2026,146300,ALL,33,207,0,565,417
1/04/2026,146400,ALL,6,33,0,915,734
1/04/2026,146500,ALL,9,48,3,650,533
1/04/2026,146600,ALL,18,57,3,720,730
1/04/2026,146700,ALL,87,228,0,610,594
1/04/2026,146900,ALL,9,9,0,750,675
1/04/2026,147000,ALL,21,90,3,620,540
1/04/2026,147100,ALL,15,105,0,650,605
1/04/2026,147200,ALL,30,216,24,620,567
1/04/2026,147500,ALL,45,117,3,640,552
